Area,Year,Age,Population
Malawi,1975,65+,125.1
Malawi,1980,65+,147.2
Malawi,1985,65+,183.5
Malawi,1990,65+,252.8
Malawi,1995,65+,300.1
Malawi,2000,65+,330.2
Malawi,2005,65+,381.7
Malawi,2010,65+,473.2
Malawi,2015,65+,528
Malaysia,1970,65+,357.1
Malaysia,1975,65+,433.9
Malaysia,1980,65+,495.3
Malaysia,1985,65+,573
Malaysia,1990,65+,657.6
Malaysia,1995,65+,771.7
Malaysia,2000,65+,899.9
Malaysia,2005,65+,1129.8
Malaysia,2010,65+,1387.7
Malaysia,2015,65+,1801.2
Maldives,1970,65+,2.7
Maldives,1975,65+,3.2
Maldives,1980,65+,4
Maldives,1985,65+,5
Maldives,1990,65+,6.2
Maldives,1995,65+,7.7
Maldives,2000,65+,10.3
Maldives,2005,65+,13.6
Maldives,2010,65+,16.3
Maldives,2015,65+,17.2
Mali,1970,65+,153.3
Mali,1975,65+,189.2
Mali,1980,65+,230.2
Mali,1985,65+,279.3
Mali,1990,65+,323.1
Mali,1995,65+,350.7
Mali,2000,65+,361.4
Mali,2005,65+,374.4
Mali,2010,65+,414
Mali,2015,65+,442.6
Malta,1970,65+,25.9
Malta,1975,65+,28.1
Malta,1980,65+,29.9
Malta,1985,65+,31.9
Malta,1990,65+,35.6
Malta,1995,65+,40.1
Malta,2000,65+,45
Malta,2005,65+,56.6
Malta,2010,65+,66.2
Malta,2015,65+,78.6
Martinique,1970,65+,17
Martinique,1975,65+,20.4
Martinique,1980,65+,26
Martinique,1985,65+,30
Martinique,1990,65+,34.5
Martinique,1995,65+,40.2
Martinique,2000,65+,46.8
Martinique,2005,65+,53.8
Martinique,2010,65+,59.8
Martinique,2015,65+,68.7
Mauritania,1970,65+,28.4
Mauritania,1975,65+,35.7
Mauritania,1980,65+,43.9
Mauritania,1985,65+,53.1
Mauritania,1990,65+,63.1
Mauritania,1995,65+,73.9
Mauritania,2000,65+,85.6
Mauritania,2005,65+,98.1
Mauritania,2010,65+,112.1
Mauritania,2015,65+,129.7
Mauritius,1970,65+,21.3
Mauritius,1975,65+,24.8
Mauritius,1980,65+,35.1
Mauritius,1985,65+,41.7
Mauritius,1990,65+,49.7
Mauritius,1995,65+,58.7
Mauritius,2000,65+,72.8
Mauritius,2005,65+,80.5
Mauritius,2010,65+,95.2
Mauritius,2015,65+,125.4
Mayotte,1970,65+,1.9
Mayotte,1975,65+,2.1
Mayotte,1980,65+,2.3
Mayotte,1985,65+,2.4
Mayotte,1990,65+,2.9
Mayotte,1995,65+,3.7
Mayotte,2000,65+,4.6
Mayotte,2005,65+,5.7
Mayotte,2010,65+,7.2
Mayotte,2015,65+,9
Mexico,1970,65+,1941.8
Mexico,1975,65+,2269.5
Mexico,1980,65+,2662
Mexico,1985,65+,3033.9
Mexico,1990,65+,3644.1
Mexico,1995,65+,4370.1
Mexico,2000,65+,5149.4
Mexico,2005,65+,5863.1
Mexico,2010,65+,6972.6
Mexico,2015,65+,8160
Micronesia (Federated States of),1970,65+,2
Micronesia (Federated States of),1975,65+,2.7
Micronesia (Federated States of),1980,65+,2.6
Micronesia (Federated States of),1985,65+,3.1
Micronesia (Federated States of),1990,65+,3.4
Micronesia (Federated States of),1995,65+,3.8
Micronesia (Federated States of),2000,65+,4
Micronesia (Federated States of),2005,65+,4.3
Micronesia (Federated States of),2010,65+,4
Micronesia (Federated States of),2015,65+,4.5
Mongolia,1970,65+,61.2
Mongolia,1975,65+,72
Mongolia,1980,65+,75.9
Mongolia,1985,65+,83.3
Mongolia,1990,65+,90.1
Mongolia,1995,65+,87.3
Mongolia,2000,65+,88.5
Mongolia,2005,65+,94.1
Mongolia,2010,65+,103.4
Mongolia,2015,65+,115.6
Montenegro,1970,65+,37.4
Montenegro,1975,65+,43.5
Montenegro,1980,65+,47.2
Montenegro,1985,65+,47.3
Montenegro,1990,65+,50.7
Montenegro,1995,65+,60.8
Montenegro,2000,65+,71
Montenegro,2005,65+,80.5
Montenegro,2010,65+,79.6
Montenegro,2015,65+,87.3
Morocco,1970,65+,551.6
Morocco,1975,65+,616.2
Morocco,1980,65+,658
Morocco,1985,65+,759.5
Morocco,1990,65+,975.3
Morocco,1995,65+,1270.2
Morocco,2000,65+,1517.2
Morocco,2005,65+,1750.9
Morocco,2010,65+,1990
Morocco,2015,65+,2226.1
Mozambique,1970,65+,270
Mozambique,1975,65+,310.6
Mozambique,1980,65+,358.7
Mozambique,1985,65+,398.7
Mozambique,1990,65+,423.8
Mozambique,1995,65+,486.1
Mozambique,2000,65+,569
Mozambique,2005,65+,672
Mozambique,2010,65+,756.2
Mozambique,2015,65+,877.5
Myanmar,1970,65+,994
Myanmar,1975,65+,1157.5
Myanmar,1980,65+,1330.7
Myanmar,1985,65+,1552
Myanmar,1990,65+,1771.5
Myanmar,1995,65+,2041.9
Myanmar,2000,65+,2269.3
Myanmar,2005,65+,2440.4
Myanmar,2010,65+,2605.8
Myanmar,2015,65+,2787.1
Namibia,1970,65+,27.8
Namibia,1975,65+,31.3
Namibia,1980,65+,35
Namibia,1985,65+,40
Namibia,1990,65+,47.8
Namibia,1995,65+,55.9
Namibia,2000,65+,62.9
Namibia,2005,65+,67.5
Namibia,2010,65+,75.2
Namibia,2015,65+,84.4
Nepal,1970,65+,351.2
Nepal,1975,65+,417.7
Nepal,1980,65+,488.9
Nepal,1985,65+,567.3
Nepal,1990,65+,661.3
Nepal,1995,65+,776.1
Nepal,2000,65+,895.1
Nepal,2005,65+,1114.3
Nepal,2010,65+,1336.2
Nepal,2015,65+,1569.3
Netherlands,1970,65+,1310.6
Netherlands,1975,65+,1458.8
Netherlands,1980,65+,1609.7
Netherlands,1985,65+,1722.5
Netherlands,1990,65+,1894.3
Netherlands,1995,65+,2025.1
Netherlands,2000,65+,2156.7
Netherlands,2005,65+,2296
Netherlands,2010,65+,2586.8
Netherlands,2015,65+,3035.4
New Caledonia,1970,65+,3.8
New Caledonia,1975,65+,5.3
New Caledonia,1980,65+,6.2
New Caledonia,1985,65+,7.2
New Caledonia,1990,65+,8.4
New Caledonia,1995,65+,9.8
New Caledonia,2000,65+,12.5
New Caledonia,2005,65+,15.8
New Caledonia,2010,65+,23.4
New Caledonia,2015,65+,26.2
New Zealand,1970,65+,239.1
New Zealand,1975,65+,268.1
New Zealand,1980,65+,306.9
New Zealand,1985,65+,337.1
New Zealand,1990,65+,376.4
New Zealand,1995,65+,423.4
New Zealand,2000,65+,453.9
New Zealand,2005,65+,496.8
New Zealand,2010,65+,568.1
New Zealand,2015,65+,675.9
Nicaragua,1970,65+,61.1
Nicaragua,1975,65+,73.9
Nicaragua,1980,65+,90.1
Nicaragua,1985,65+,109.1
Nicaragua,1990,65+,132.8
Nicaragua,1995,65+,161.6
Nicaragua,2000,65+,192.9
Nicaragua,2005,65+,230
Nicaragua,2010,65+,271.7
Nicaragua,2015,65+,309.3
Niger,1970,65+,71.8
Niger,1975,65+,91.9
Niger,1980,65+,115.3
Niger,1985,65+,144.8
Niger,1990,65+,184.7
Niger,1995,65+,230.4
Niger,2000,65+,277.8
Niger,2005,65+,333.1
Niger,2010,65+,410.5
Niger,2015,65+,505.8
Nigeria,1970,65+,1584.7
Nigeria,1975,65+,1781.9
Nigeria,1980,65+,2044.6
Nigeria,1985,65+,2385.9
Nigeria,1990,65+,2743.8
Nigeria,1995,65+,3102
Nigeria,2000,65+,3444.2
Nigeria,2005,65+,3813.8
Nigeria,2010,65+,4357.8
Nigeria,2015,65+,4957.5
Norway,1970,65+,498.7
Norway,1975,65+,547.5
Norway,1980,65+,599.8
Norway,1985,65+,648.7
Norway,1990,65+,690.7
Norway,1995,65+,695.2
Norway,2000,65+,681.4
Norway,2005,65+,681.1
Norway,2010,65+,734.3
Norway,2015,65+,847.8
Occupied Palestinian Territory,1970,65+,32.1
Occupied Palestinian Territory,1975,65+,33.3
Occupied Palestinian Territory,1980,65+,34.1
Occupied Palestinian Territory,1985,65+,37.5
Occupied Palestinian Territory,1990,65+,44.8
Occupied Palestinian Territory,1995,65+,55.9
Occupied Palestinian Territory,2000,65+,73.3
Occupied Palestinian Territory,2005,65+,89.9
Occupied Palestinian Territory,2010,65+,110.9
Occupied Palestinian Territory,2015,65+,138.7
Oman,1970,65+,23
Oman,1975,65+,27
Oman,1980,65+,31.5
Oman,1985,65+,36.2
Oman,1990,65+,41.4
Oman,1995,65+,45.7
Oman,2000,65+,55.2
Oman,2005,65+,65
Oman,2010,65+,81.8
Oman,2015,65+,97.2
Pakistan,1970,65+,2216
Pakistan,1975,65+,2536.8
Pakistan,1980,65+,3001.5
Pakistan,1985,65+,3573.5
Pakistan,1990,65+,4205.3
Pakistan,1995,65+,4893.2
Pakistan,2000,65+,5662.5
Pakistan,2005,65+,6543.4
Pakistan,2010,65+,7533.8
Pakistan,2015,65+,8493.5
Panama,1970,65+,57.4
Panama,1975,65+,68.4
Panama,1980,65+,82.3
Panama,1985,65+,98.8
Panama,1990,65+,117.5
Panama,1995,65+,139.7
Panama,2000,65+,167.3
Panama,2005,65+,202.5
Panama,2010,65+,246.3
Panama,2015,65+,299.9
Papua New Guinea,1970,65+,66.8
Papua New Guinea,1975,65+,76.1
Papua New Guinea,1980,65+,89.4
Papua New Guinea,1985,65+,106.8
Papua New Guinea,1990,65+,126.6
Papua New Guinea,1995,65+,149.7
Papua New Guinea,2000,65+,176
Papua New Guinea,2005,65+,206.7
Papua New Guinea,2010,65+,243.2
Papua New Guinea,2015,65+,288.7
Paraguay,1970,65+,86.3
Paraguay,1975,65+,102.1
Paraguay,1980,65+,121.6
Paraguay,1985,65+,145.1
Paraguay,1990,65+,172.4
Paraguay,1995,65+,206.1
Paraguay,2000,65+,235.3
Paraguay,2005,65+,280
Paraguay,2010,65+,331.4
Paraguay,2015,65+,399.7
Peru,1970,65+,462.8
Peru,1975,65+,543.3
Peru,1980,65+,633.4
Peru,1985,65+,737.2
Peru,1990,65+,869.8
Peru,1995,65+,1045.7
Peru,2000,65+,1265.7
Peru,2005,65+,1564.4
Peru,2010,65+,1820.6
Peru,2015,65+,2141.5
Philippines,1970,65+,1070.3
Philippines,1975,65+,1292.6
Philippines,1980,65+,1522.7
Philippines,1985,65+,1720.5
Philippines,1990,65+,1946.4
Philippines,1995,65+,2153.4
Philippines,2000,65+,2516.5
Philippines,2005,65+,2998.9
Philippines,2010,65+,3877.9
Philippines,2015,65+,4650.4
Poland,1970,65+,2687.1
Poland,1975,65+,3255.9
Poland,1980,65+,3610.7
Poland,1985,65+,3488.1
Poland,1990,65+,3846.3
Poland,1995,65+,4275.7
Poland,2000,65+,4713.4
Poland,2005,65+,5093.7
Poland,2010,65+,5204.2
Poland,2015,65+,5973.9
Portugal,1970,65+,841.1
Portugal,1975,65+,969.5
Portugal,1980,65+,1123.2
Portugal,1985,65+,1208.5
Portugal,1990,65+,1350.7
Portugal,1995,65+,1511.3
Portugal,2000,65+,1671.8
Portugal,2005,65+,1800.6
Portugal,2010,65+,1988.7
Portugal,2015,65+,2160.7
Puerto Rico,1970,65+,176.4
Puerto Rico,1975,65+,184.4
Puerto Rico,1980,65+,251.9
Puerto Rico,1985,65+,292.4
Puerto Rico,1990,65+,342.4
Puerto Rico,1995,65+,386.1
Puerto Rico,2000,65+,429.7
Puerto Rico,2005,65+,457.4
Puerto Rico,2010,65+,482.2
Puerto Rico,2015,65+,532.9
Qatar,1970,65+,2.1
Qatar,1975,65+,3.5
Qatar,1980,65+,3.4
Qatar,1985,65+,4.6
Qatar,1990,65+,6
Qatar,1995,65+,7.1
Qatar,2000,65+,9.9
Qatar,2005,65+,10.7
Qatar,2010,65+,18.7
Qatar,2015,65+,27
Republic of Korea,1970,65+,1042.6
Republic of Korea,1975,65+,1206.7
Republic of Korea,1980,65+,1446.3
Republic of Korea,1985,65+,1754.7
Republic of Korea,1990,65+,2140
Republic of Korea,1995,65+,2639.2
Republic of Korea,2000,65+,3390.2
Republic of Korea,2005,65+,4376.9
Republic of Korea,2010,65+,5443.5
Republic of Korea,2015,65+,6559.7
Republic of Moldova,1970,65+,227.7
Republic of Moldova,1975,65+,261.1
Republic of Moldova,1980,65+,310.6
Republic of Moldova,1985,65+,317.7
Republic of Moldova,1990,65+,361.9
Republic of Moldova,1995,65+,391
Republic of Moldova,2000,65+,395.8
Republic of Moldova,2005,65+,412.7
Republic of Moldova,2010,65+,414.5
Republic of Moldova,2015,65+,404.1
Reunion,1970,65+,15.6
Reunion,1975,65+,19
Reunion,1980,65+,22.6
Reunion,1985,65+,28.6
Reunion,1990,65+,34.4
Reunion,1995,65+,40.9
Reunion,2000,65+,49.2
Reunion,2005,65+,57.9
Reunion,2010,65+,71.1
Reunion,2015,65+,89.3
Romania,1970,65+,1739.3
Romania,1975,65+,2040.2
Romania,1980,65+,2304.8
Romania,1985,65+,2189.3
Romania,1990,65+,2444.1
Romania,1995,65+,2767.3
Romania,2000,65+,3012.4
Romania,2005,65+,3255.9
Romania,2010,65+,3212.9
Romania,2015,65+,3379
Russian Federation,1970,65+,10046.1
Russian Federation,1975,65+,12082.5
Russian Federation,1980,65+,14202.1
Russian Federation,1985,65+,14091.6
Russian Federation,1990,65+,15206.7
Russian Federation,1995,65+,17994.5
Russian Federation,2000,65+,18216.5
Russian Federation,2005,65+,19848
Russian Federation,2010,65+,18735.3
Russian Federation,2015,65+,19408.5
Rwanda,1970,65+,103.7
Rwanda,1975,65+,112.6
Rwanda,1980,65+,120.9
Rwanda,1985,65+,131.8
Rwanda,1990,65+,160.7
Rwanda,1995,65+,127.7
Rwanda,2000,65+,258.9
Rwanda,2005,65+,243.7
Rwanda,2010,65+,274.4
Rwanda,2015,65+,326.7
Saint Lucia,1970,65+,4.8
Saint Lucia,1975,65+,5.4
Saint Lucia,1980,65+,6
Saint Lucia,1985,65+,6.9
Saint Lucia,1990,65+,10.3
Saint Lucia,1995,65+,11.3
Saint Lucia,2000,65+,11.9
Saint Lucia,2005,65+,12
Saint Lucia,2010,65+,15
Saint Lucia,2015,65+,16.6
Saint Vincent and the Grenadines,1970,65+,4.3
Saint Vincent and the Grenadines,1975,65+,5.2
Saint Vincent and the Grenadines,1980,65+,5.8
Saint Vincent and the Grenadines,1985,65+,6
Saint Vincent and the Grenadines,1990,65+,6.7
Saint Vincent and the Grenadines,1995,65+,7.2
Saint Vincent and the Grenadines,2000,65+,7.5
Saint Vincent and the Grenadines,2005,65+,7.8
Saint Vincent and the Grenadines,2010,65+,7.4
Saint Vincent and the Grenadines,2015,65+,8
Samoa,1970,65+,3.3
Samoa,1975,65+,3.7
Samoa,1980,65+,4.3
Samoa,1985,65+,4.9
Samoa,1990,65+,6.3
Samoa,1995,65+,7.1
Samoa,2000,65+,7.8
Samoa,2005,65+,8.7
Samoa,2010,65+,9.5
Samoa,2015,65+,10.3
Sao Tome and Principe,1970,65+,3.6
Sao Tome and Principe,1975,65+,3.3
Sao Tome and Principe,1980,65+,4.6
Sao Tome and Principe,1985,65+,4.8
Sao Tome and Principe,1990,65+,5.3
Sao Tome and Principe,1995,65+,5.9
Sao Tome and Principe,2000,65+,6.4
Sao Tome and Principe,2005,65+,6.8
Sao Tome and Principe,2010,65+,6.3
Sao Tome and Principe,2015,65+,5.9
Saudi Arabia,1970,65+,200.8
Saudi Arabia,1975,65+,241.9
Saudi Arabia,1980,65+,293.9
Saudi Arabia,1985,65+,345.6
Saudi Arabia,1990,65+,459.5
Saudi Arabia,1995,65+,545.4
Saudi Arabia,2000,65+,623
Saudi Arabia,2005,65+,700.1
Saudi Arabia,2010,65+,817.5
Saudi Arabia,2015,65+,963.5
Senegal,1970,65+,106
Senegal,1975,65+,124.4
Senegal,1980,65+,148.5
Senegal,1985,65+,181.2
Senegal,1990,65+,223.5
Senegal,1995,65+,270.6
Senegal,2000,65+,314
Senegal,2005,65+,357
Senegal,2010,65+,400.5
Senegal,2015,65+,448.5
Serbia,1970,65+,676.3
Serbia,1975,65+,786.4
Serbia,1980,65+,820.9
Serbia,1985,65+,786.7
Serbia,1990,65+,912.4
Serbia,1995,65+,1130.8
Serbia,2000,65+,1299
Serbia,2005,65+,1355.9
Serbia,2010,65+,1368.5
Serbia,2015,65+,1443.2
Seychelles,1970,65+,3.2
Seychelles,1975,65+,3.6
Seychelles,1980,65+,4.4
Seychelles,1985,65+,4.8
Seychelles,1990,65+,4.7
Seychelles,1995,65+,5.4
Seychelles,2000,65+,6.3
Seychelles,2005,65+,6.3
Seychelles,2010,65+,7
Seychelles,2015,65+,7.7
Sierra Leone,1970,65+,75.6
Sierra Leone,1975,65+,86.6
Sierra Leone,1980,65+,99.3
Sierra Leone,1985,65+,111
Sierra Leone,1990,65+,119.1
Sierra Leone,1995,65+,105
Sierra Leone,2000,65+,101.3
Sierra Leone,2005,65+,126.6
Sierra Leone,2010,65+,156.8
Sierra Leone,2015,65+,181.1
Singapore,1970,65+,69
Singapore,1975,65+,92.9
Singapore,1980,65+,114
Singapore,1985,65+,142.8
Singapore,1990,65+,168.7
Singapore,1995,65+,220.9
Singapore,2000,65+,287.5
Singapore,2005,65+,369.6
Singapore,2010,65+,457.7
Singapore,2015,65+,646.9
Slovakia,1970,65+,410.9
Slovakia,1975,65+,477.7
Slovakia,1980,65+,525.2
Slovakia,1985,65+,474.2
Slovakia,1990,65+,544.9
Slovakia,1995,65+,581.1
Slovakia,2000,65+,612.7
Slovakia,2005,65+,629.1
Slovakia,2010,65+,668.2
Slovakia,2015,65+,764.6
Slovenia,1970,65+,164.6
Slovenia,1975,65+,191.3
Slovenia,1980,65+,208.9
Slovenia,1985,65+,191.6
Slovenia,1990,65+,213.5
Slovenia,1995,65+,244.7
Slovenia,2000,65+,280.6
Slovenia,2005,65+,309.5
Slovenia,2010,65+,342.2
Slovenia,2015,65+,374.2
Solomon Islands,1970,65+,5.6
Solomon Islands,1975,65+,6.2
Solomon Islands,1980,65+,7.3
Solomon Islands,1985,65+,7.8
Solomon Islands,1990,65+,8.7
Solomon Islands,1995,65+,9.6
Solomon Islands,2000,65+,11.6
Solomon Islands,2005,65+,14
Solomon Islands,2010,65+,17.3
Solomon Islands,2015,65+,20.2
Somalia,1970,65+,109.4
Somalia,1975,65+,126.1
Somalia,1980,65+,200.3
Somalia,1985,65+,199.3
Somalia,1990,65+,203.1
Somalia,1995,65+,194.2
Somalia,2000,65+,216.8
Somalia,2005,65+,246.2
Somalia,2010,65+,317.4
Somalia,2015,65+,373.7
South Africa,1970,65+,775.4
South Africa,1975,65+,829.9
South Africa,1980,65+,902
South Africa,1985,65+,1026.8
South Africa,1990,65+,1174.8
South Africa,1995,65+,1404.9
South Africa,2000,65+,1787.4
South Africa,2005,65+,2232
South Africa,2010,65+,2607.6
South Africa,2015,65+,2809.5
South Sudan,1970,65+,90.5
South Sudan,1975,65+,103.5
South Sudan,1980,65+,122
South Sudan,1985,65+,144.9
South Sudan,1990,65+,158.2
South Sudan,1995,65+,156.5
South Sudan,2000,65+,202.7
South Sudan,2005,65+,259.1
South Sudan,2010,65+,339.7
South Sudan,2015,65+,412.3
Spain,1970,65+,3256.5
Spain,1975,65+,3674.2
Spain,1980,65+,4161.2
Spain,1985,65+,4572.7
Spain,1990,65+,5233.2
Spain,1995,65+,5992.9
Spain,2000,65+,6780.3
Spain,2005,65+,7293.6
Spain,2010,65+,7999
Spain,2015,65+,8758.7
Sri Lanka,1970,65+,461.8
Sri Lanka,1975,65+,546.1
Sri Lanka,1980,65+,656.4
Sri Lanka,1985,65+,791.2
Sri Lanka,1990,65+,949.3
Sri Lanka,1995,65+,1104.7
Sri Lanka,2000,65+,1169.9
Sri Lanka,2005,65+,1336.1
Sri Lanka,2010,65+,1477.5
Sri Lanka,2015,65+,1926.2
Sudan,1970,65+,307.9
Sudan,1975,65+,359.8
Sudan,1980,65+,425
Sudan,1985,65+,500.8
Sudan,1990,65+,588.8
Sudan,1995,65+,729.7
Sudan,2000,65+,837.8
Sudan,2005,65+,971.9
Sudan,2010,65+,1135.3
Sudan,2015,65+,1335.5
Suriname,1970,65+,14.4
Suriname,1975,65+,14.1
Suriname,1980,65+,15.9
Suriname,1985,65+,16.8
Suriname,1990,65+,19.2
Suriname,1995,65+,22.6
Suriname,2000,65+,26.7
Suriname,2005,65+,30.4
Suriname,2010,65+,32.7
Suriname,2015,65+,37
Swaziland,1970,65+,12.1
Swaziland,1975,65+,14
Swaziland,1980,65+,16.5
Swaziland,1985,65+,19.6
Swaziland,1990,65+,23.3
Swaziland,1995,65+,26.9
Swaziland,2000,65+,31.4
Swaziland,2005,65+,34.9
Swaziland,2010,65+,36.6
Swaziland,2015,65+,41
Sweden,1970,65+,1099.6
Sweden,1975,65+,1238.1
Sweden,1980,65+,1354
Sweden,1985,65+,1439.6
Sweden,1990,65+,1522
Sweden,1995,65+,1541.4
Sweden,2000,65+,1531.8
Sweden,2005,65+,1560.1
Sweden,2010,65+,1707.9
Sweden,2015,65+,1913.5
Switzerland,1970,65+,693.4
Switzerland,1975,65+,787.4
Switzerland,1980,65+,870.8
Switzerland,1985,65+,902.6
Switzerland,1990,65+,972.1
Switzerland,1995,65+,1030.1
Switzerland,2000,65+,1096.4
Switzerland,2005,65+,1171.9
Switzerland,2010,65+,1323.9
Switzerland,2015,65+,1497.3
Syrian Arab Republic,1970,65+,210.6
Syrian Arab Republic,1975,65+,232.8
Syrian Arab Republic,1980,65+,263.6
Syrian Arab Republic,1985,65+,308.5
Syrian Arab Republic,1990,65+,376.6
Syrian Arab Republic,1995,65+,457.8
Syrian Arab Republic,2000,65+,549.6
Syrian Arab Republic,2005,65+,617.2
Syrian Arab Republic,2010,65+,729.2
Syrian Arab Republic,2015,65+,756.9
Taiwan Province of China,1970,65+,397
Taiwan Province of China,1975,65+,499.1
Taiwan Province of China,1980,65+,704.7
Taiwan Province of China,1985,65+,935.3
Taiwan Province of China,1990,65+,1231.3
Taiwan Province of China,1995,65+,1565.6
Taiwan Province of China,2000,65+,1860.3
Taiwan Province of China,2005,65+,2175.8
Taiwan Province of China,2010,65+,2496.9
Taiwan Province of China,2015,65+,2879.2
Tajikistan,1970,65+,149.1
Tajikistan,1975,65+,160.8
Tajikistan,1980,65+,179.8
Tajikistan,1985,65+,183
Tajikistan,1990,65+,203.1
Tajikistan,1995,65+,222.2
Tajikistan,2000,65+,219.1
Tajikistan,2005,65+,264.1
Tajikistan,2010,65+,263
Tajikistan,2015,65+,284
Thailand,1970,65+,1291.2
Thailand,1975,65+,1514.6
Thailand,1980,65+,1775.3
Thailand,1985,65+,2072.6
Thailand,1990,65+,2556.3
Thailand,1995,65+,3255
Thailand,2000,65+,4116.1
Thailand,2005,65+,5078.1
Thailand,2010,65+,5934.8
Thailand,2015,65+,7253.5
The former Yugoslav Republic of Macedonia,1970,65+,81.3
The former Yugoslav Republic of Macedonia,1975,65+,100.2
The former Yugoslav Republic of Macedonia,1980,65+,121.9
The former Yugoslav Republic of Macedonia,1985,65+,121.5
The former Yugoslav Republic of Macedonia,1990,65+,143.8
The former Yugoslav Republic of Macedonia,1995,65+,157.2
The former Yugoslav Republic of Macedonia,2000,65+,185.3
The former Yugoslav Republic of Macedonia,2005,65+,213.6
The former Yugoslav Republic of Macedonia,2010,65+,232.3
The former Yugoslav Republic of Macedonia,2015,65+,260.4
Timor-Leste,1970,65+,15.8
Timor-Leste,1975,65+,17.8
Timor-Leste,1980,65+,12.6
Timor-Leste,1985,65+,12.8
Timor-Leste,1990,65+,12.9
Timor-Leste,1995,65+,17.2
Timor-Leste,2000,65+,19.3
Timor-Leste,2005,65+,25.7
Timor-Leste,2010,65+,45.3
Timor-Leste,2015,65+,42.9
Togo,1970,65+,60.4
Togo,1975,65+,68.9
Togo,1980,65+,79.4
Togo,1985,65+,96.1
Togo,1990,65+,112.4
Togo,1995,65+,127.1
Togo,2000,65+,139
Togo,2005,65+,153.7
Togo,2010,65+,173
Togo,2015,65+,206.9
Tonga,1970,65+,2.4
Tonga,1975,65+,2.7
Tonga,1980,65+,3.1
Tonga,1985,65+,3.6
Tonga,1990,65+,4.3
Tonga,1995,65+,5.1
Tonga,2000,65+,5.6
Tonga,2005,65+,6.1
Tonga,2010,65+,6.1
Tonga,2015,65+,6.2
Trinidad and Tobago,1970,65+,39.9
Trinidad and Tobago,1975,65+,49
Trinidad and Tobago,1980,65+,59.4
Trinidad and Tobago,1985,65+,65.2
Trinidad and Tobago,1990,65+,70.4
Trinidad and Tobago,1995,65+,76.3
Trinidad and Tobago,2000,65+,82.8
Trinidad and Tobago,2005,65+,93.8
Trinidad and Tobago,2010,65+,110.1
Trinidad and Tobago,2015,65+,128
Tunisia,1970,65+,176.2
Tunisia,1975,65+,207
Tunisia,1980,65+,249.1
Tunisia,1985,65+,326.1
Tunisia,1990,65+,401.3
Tunisia,1995,65+,507
Tunisia,2000,65+,653
Tunisia,2005,65+,746.4
Tunisia,2010,65+,795.3
Tunisia,2015,65+,857.9
Turkey,1970,65+,1370.2
Turkey,1975,65+,1749.4
Turkey,1980,65+,2064.6
Turkey,1985,65+,2160.2
Turkey,1990,65+,2453.8
Turkey,1995,65+,2998.9
Turkey,2000,65+,3788.1
Turkey,2005,65+,4442.1
Turkey,2010,65+,5085.9
Turkey,2015,65+,6106.6
Turkmenistan,1970,65+,102.2
Turkmenistan,1975,65+,112.6
Turkmenistan,1980,65+,122.4
Turkmenistan,1985,65+,125.6
Turkmenistan,1990,65+,139
Turkmenistan,1995,65+,172.6
Turkmenistan,2000,65+,193.2
Turkmenistan,2005,65+,218.4
Turkmenistan,2010,65+,210.5
Turkmenistan,2015,65+,226.8
Uganda,1970,65+,245.4
Uganda,1975,65+,283.8
Uganda,1980,65+,330.3
Uganda,1985,65+,388.4
Uganda,1990,65+,467.7
Uganda,1995,65+,555.8
Uganda,2000,65+,650.8
Uganda,2005,65+,673
Uganda,2010,65+,764.5
Uganda,2015,65+,873
Ukraine,1970,65+,4361.7
Ukraine,1975,65+,5147.2
Ukraine,1980,65+,5906.6
Ukraine,1985,65+,5693.2
Ukraine,1990,65+,6169.8
Ukraine,1995,65+,6889.3
Ukraine,2000,65+,6740.9
Ukraine,2005,65+,7451.8
Ukraine,2010,65+,7194.4
Ukraine,2015,65+,7094.6
United Arab Emirates,1970,65+,3.3
United Arab Emirates,1975,65+,8.2
United Arab Emirates,1980,65+,14.8
United Arab Emirates,1985,65+,16.5
United Arab Emirates,1990,65+,21.2
United Arab Emirates,1995,65+,23.8
United Arab Emirates,2000,65+,32.2
United Arab Emirates,2005,65+,40.3
United Arab Emirates,2010,65+,62.1
United Arab Emirates,2015,65+,93.6
United Kingdom of Great Britain and Northern Ireland,1970,65+,7249.5
United Kingdom of Great Britain and Northern Ireland,1975,65+,7897.2
United Kingdom of Great Britain and Northern Ireland,1980,65+,8404.6
United Kingdom of Great Britain and Northern Ireland,1985,65+,8541.7
United Kingdom of Great Britain and Northern Ireland,1990,65+,8984.5
United Kingdom of Great Britain and Northern Ireland,1995,65+,9180.5
United Kingdom of Great Britain and Northern Ireland,2000,65+,9317.1
United Kingdom of Great Britain and Northern Ireland,2005,65+,9629.8
United Kingdom of Great Britain and Northern Ireland,2010,65+,10144.4
United Kingdom of Great Britain and Northern Ireland,2015,65+,11851
United Republic of Tanzania,1970,65+,340.8
United Republic of Tanzania,1975,65+,409.4
United Republic of Tanzania,1980,65+,488.9
United Republic of Tanzania,1985,65+,582.1
United Republic of Tanzania,1990,65+,690.5
United Republic of Tanzania,1995,65+,825.2
United Republic of Tanzania,2000,65+,963.7
United Republic of Tanzania,2005,65+,1163.7
United Republic of Tanzania,2010,65+,1428.2
United Republic of Tanzania,2015,65+,1675.8
United States of America,1970,65+,20411.2
United States of America,1975,65+,22929.9
United States of America,1980,65+,26072.8
United States of America,1985,65+,28860.1
United States of America,1990,65+,31662.4
